epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66007,2.68751,8.40606,1.44844,0.00033,0.12,0.00025,8e-05,2.42497,5.56708,1.31497,0.000647059,0.000647059,0.000647059
2,15.268,2.31457,5.27671,1.26944,0.00022,0.08,0.00015,5e-05,2.27963,5.20079,1.30859,0.00127037,0.00127037,0.00127037
3,21.439,2.21371,4.16058,1.26425,0.47801,0.22065,0.20277,0.08144,2.07156,4.16086,1.18799,0.00184969,0.00184969,0.00184969
4,27.8247,2.15953,3.87021,1.27253,1,0.07687,0.3562,0.10878,2.29252,3.19203,1.29581,0.001802,0.001802,0.001802
5,34.2529,2.09717,3.42164,1.18553,0.57517,0.44,0.42206,0.14591,2.3598,2.38608,1.35241,0.001736,0.001736,0.001736
6,40.8704,2.15698,2.88949,1.23681,0.43954,0.2,0.15676,0.05639,2.97603,2.58516,1.75569,0.00167,0.00167,0.00167
7,47.1111,2.08522,2.49483,1.14399,0.75078,0.48212,0.55267,0.14715,2.51906,2.30396,1.35964,0.001604,0.001604,0.001604
8,53.3745,2.03026,2.43863,1.15462,0.73467,0.48,0.52649,0.22006,2.3593,1.98244,1.29436,0.001538,0.001538,0.001538
9,59.9838,2.00674,2.09785,1.21625,0.76987,0.6,0.57936,0.18729,2.21703,1.92868,1.31461,0.001472,0.001472,0.001472
10,66.3423,2.00225,1.93469,1.13534,0.78604,0.58826,0.61106,0.20596,2.34771,2.0432,1.33734,0.001406,0.001406,0.001406
11,72.7328,1.93015,1.72855,1.15134,0.67029,0.52,0.54981,0.20298,2.24739,1.87565,1.2926,0.00134,0.00134,0.00134
12,79.2806,2.00571,1.86249,1.19467,0.66413,0.6,0.54799,0.20005,2.33898,1.79629,1.32255,0.001274,0.001274,0.001274
13,85.6948,1.97199,1.72897,1.16367,0.60488,0.61269,0.51839,0.18777,2.43468,1.6805,1.37019,0.001208,0.001208,0.001208
14,92.1289,1.96212,1.75287,1.12268,0.79382,0.48,0.57767,0.21347,2.27388,1.62309,1.2996,0.001142,0.001142,0.001142
15,98.7612,1.91058,1.48158,1.14308,0.61348,0.44462,0.47463,0.17189,2.46602,1.82492,1.3031,0.001076,0.001076,0.001076
16,105.241,1.84732,1.43468,1.11969,0.62498,0.48,0.44537,0.16194,2.40437,2.01618,1.31024,0.00101,0.00101,0.00101
17,112.089,1.86523,1.48018,1.09179,0.59225,0.56,0.53723,0.16461,2.46066,1.62311,1.35723,0.000944,0.000944,0.000944
18,118.993,1.77804,1.44101,1.07737,0.62014,0.52,0.53358,0.20376,2.36796,1.5444,1.29555,0.000878,0.000878,0.000878
19,125.555,1.79354,1.33346,1.08057,0.68097,0.6,0.58023,0.25533,2.30028,1.51947,1.2822,0.000812,0.000812,0.000812
20,132.39,1.70128,1.21149,1.04923,0.64666,0.64,0.60865,0.24955,2.3335,1.54752,1.27618,0.000746,0.000746,0.000746
21,172.367,1.82302,1.4391,1.12892,0.74731,0.52,0.6413,0.20128,2.41675,1.42636,1.30666,0.00068,0.00068,0.00068
22,178.477,1.70854,1.40003,1.09178,0.83331,0.56,0.65862,0.18531,2.44203,1.36509,1.30925,0.000614,0.000614,0.000614
23,184.544,1.69564,1.28888,1.09118,0.7286,0.56,0.60822,0.19333,2.46131,1.31321,1.31269,0.000548,0.000548,0.000548
24,190.673,1.67369,1.24042,1.09626,0.81196,0.52,0.64366,0.21141,2.45527,1.46131,1.31102,0.000482,0.000482,0.000482
25,196.915,1.66191,1.24725,1.07023,0.62357,0.6,0.57799,0.21385,2.4616,1.40581,1.35529,0.000416,0.000416,0.000416
26,203.231,1.66402,1.1812,1.05747,0.72756,0.68,0.68926,0.24071,2.44799,1.21797,1.30426,0.00035,0.00035,0.00035
27,209.378,1.56517,1.09708,1.03376,0.72442,0.68,0.73082,0.24909,2.35921,1.23512,1.2965,0.000284,0.000284,0.000284
28,215.682,1.57872,1.10227,1.06827,0.64919,0.66656,0.65616,0.23831,2.46029,1.28424,1.32857,0.000218,0.000218,0.000218
29,222.283,1.65342,1.08112,1.06148,0.59007,0.6,0.59591,0.21873,2.49347,1.3482,1.36969,0.000152,0.000152,0.000152
30,228.825,1.5228,1.00075,1.01706,0.6691,0.68,0.70786,0.23085,2.45886,1.37179,1.36382,8.6e-05,8.6e-05,8.6e-05
