epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.428,2.62408,8.18932,1.34521,0.00015,0.02381,0.02257,0.02031,2.43683,5.74547,1.25829,0.00013336,0.00013336,0.00013336
2,39.8433,1.85109,5.32766,1.13603,0.00221,0.47619,0.0252,0.01469,1.50946,4.61047,1.04541,0.000274038,0.000274038,0.000274038
3,58.8523,1.69707,4.30198,1.02668,0.00205,0.47619,0.02626,0.01793,1.48905,4.42861,1.04306,0.000404814,0.000404814,0.000404814
4,78.0056,1.52818,3.26775,1.00391,0.0023,0.47619,0.0562,0.03876,1.35483,4.08455,1.01204,0.000525688,0.000525688,0.000525688
5,95.8949,1.68065,3.49993,1.0175,0.0024,0.47619,0.02695,0.02231,1.28583,4.32718,0.9702,0.000636661,0.000636661,0.000636661
6,114.33,1.60261,3.58563,0.96973,0.00222,0.47619,0.02704,0.02024,1.58828,4.34773,1.05953,0.000737731,0.000737731,0.000737731
7,132.943,1.67396,3.16121,1.00615,0.00228,0.53175,0.05922,0.04269,1.48861,4.16349,1.05649,0.000828899,0.000828899,0.000828899
8,149.822,1.63559,2.8134,1.0302,0.00245,0.56349,0.16903,0.12234,1.34594,4.07809,1.04404,0.000910165,0.000910165,0.000910165
9,168.588,1.656,3.1253,1.07123,0.00266,0.5873,0.2376,0.14997,1.49948,3.90347,1.10928,0.00098153,0.00098153,0.00098153
10,187.121,1.43322,2.72665,0.98016,0.00403,0.53175,0.3287,0.17826,1.5505,3.66356,1.11865,0.00104299,0.00104299,0.00104299
11,205.428,1.54561,2.37989,1.02535,0.94509,0.19326,0.51069,0.33533,1.36883,3.25055,1.01458,0.00109455,0.00109455,0.00109455
12,225.03,1.38213,2.32169,0.99498,0.97546,0.4616,0.58859,0.35654,1.36337,2.74085,1.02879,0.00106188,0.00106188,0.00106188
13,243.277,1.44179,2.11973,1.01137,0.91487,0.59827,0.59623,0.35154,1.46937,2.44868,1.07256,0.00100687,0.00100687,0.00100687
14,262.093,1.48605,2.13333,0.98464,0.90733,0.64818,0.68889,0.3749,1.55024,2.28492,1.07591,0.000951857,0.000951857,0.000951857
15,280.46,1.51971,2.08488,0.95668,0.97051,0.6357,0.77663,0.41588,1.52822,1.9685,1.07172,0.000896846,0.000896846,0.000896846
16,298.602,1.39298,2.08687,0.97499,0.73143,0.69841,0.73336,0.4121,1.49265,1.70433,1.07492,0.000841835,0.000841835,0.000841835
17,317.201,1.38824,2.30993,0.94332,0.73743,0.88889,0.81504,0.45405,1.4256,1.55786,1.01599,0.000786824,0.000786824,0.000786824
18,337.162,1.32344,1.99061,0.96908,0.7431,0.77979,0.78486,0.46622,1.40516,1.53422,1.00483,0.000731813,0.000731813,0.000731813
19,355.599,1.39543,1.89235,0.94899,0.91074,0.82488,0.8608,0.49636,1.30286,1.5935,1.0086,0.000676802,0.000676802,0.000676802
20,373.986,1.34373,1.73264,0.96764,0.88976,0.81724,0.84053,0.46907,1.26802,1.631,1.01757,0.000621791,0.000621791,0.000621791
21,391.55,1.46968,2.55429,1.0131,0.79476,0.83333,0.80208,0.45403,1.2582,1.68412,1.01016,0.00056678,0.00056678,0.00056678
22,409.279,1.3288,2.35334,0.9409,0.74696,0.81061,0.82317,0.50808,1.24455,1.6047,0.97806,0.000511769,0.000511769,0.000511769
23,426.678,1.26052,2.38985,0.97021,0.82453,0.73363,0.79918,0.44448,1.2925,1.53942,1.04242,0.000456758,0.000456758,0.000456758
24,444.229,1.32426,2.07602,1.01141,0.82771,0.74933,0.7992,0.43209,1.32445,1.53762,1.09094,0.000401747,0.000401747,0.000401747
25,458.633,1.35483,2.24095,0.96268,0.83566,0.83986,0.80313,0.42369,1.34134,1.56001,1.15819,0.000346736,0.000346736,0.000346736
26,472.916,1.45923,2.63704,0.97127,0.87485,0.88159,0.84322,0.4483,1.33467,1.49421,1.19211,0.000291725,0.000291725,0.000291725
27,487.387,1.38127,2.31365,0.98653,0.90058,0.94444,0.90013,0.50332,1.28982,1.43095,1.01665,0.000236714,0.000236714,0.000236714
28,502.025,1.33698,1.9535,0.96648,0.90017,0.94444,0.90625,0.50213,1.27024,1.34573,0.98478,0.000181703,0.000181703,0.000181703
29,516.535,1.27049,1.83127,0.95909,0.90037,0.94444,0.91236,0.52111,1.26672,1.29966,0.98025,0.000126692,0.000126692,0.000126692
30,531.092,1.32667,2.11718,0.94351,0.96492,0.93743,0.91847,0.53782,1.26183,1.28499,0.9735,7.1681e-05,7.1681e-05,7.1681e-05
